url,logo
https://auto.ru/diler/cars/all/avto_treyd_sevastopol,https://avatars.mds.yandex.net/get-verba/937147/2a000001709a58fc51c08c7ddef67eea7ecf/dealer_logo
https://auto.ru/diler/cars/all/avtocentr_m_hyundai_simferopol,https://avatars.mds.yandex.net/get-verba/1030388/2a000001609848add96fbe62be2680f5bfd7/dealer_logo
https://auto.ru/diler/cars/all/hyundai_sevastopol,
https://auto.ru/diler/cars/all/avtodel_simferopol_kievskaya,https://avatars.mds.yandex.net/get-verba/1030388/2a000001609848add96fbe62be2680f5bfd7/dealer_logo
https://auto.ru/diler/cars/all/udm_auto_sevastopol_sevastopol,
https://auto.ru/diler/cars/all/bn_motors_krim,https://avatars.mds.yandex.net/get-verba/997355/2a00000178a6cb3890eb4830d2803d6eeea4/dealer_logo
https://auto.ru/diler/cars/all/krim_avtoholding_simferopol,
https://auto.ru/diler/cars/all/blik_avto_simferopol,
https://auto.ru/diler/cars/all/tavrida_motors_simferopol,
https://auto.ru/diler/cars/all/avtodel_simferopol,https://avatars.mds.yandex.net/get-verba/1030388/2a000001609848add96fbe62be2680f5bfd7/dealer_logo
https://auto.ru/diler/cars/all/avtostar_dongfeng_simferopol,
https://auto.ru/diler/cars/all/chernomor_avto_ekspert_simferopol,https://avatars.mds.yandex.net/get-verba/1672712/2a00000168c7f3343734644cf8ecc41ebeb1/dealer_logo
https://auto.ru/diler/cars/all/gala_motors_sevastopol_krim,
https://auto.ru/diler/cars/all/avto_luks_kia_sevastopol,https://avatars.mds.yandex.net/get-verba/997355/2a000001683c870b1fc6ff3622b022a90540/dealer_logo
https://auto.ru/diler/cars/all/vital_avto_sevastopol,https://avatars.mds.yandex.net/get-verba/1540742/2a0000017c940dc8dcdaf25872f55b3f6256/dealer_logo
https://auto.ru/diler/cars/all/hochu_avto_simferopol,https://avatars.mds.yandex.net/get-verba/787013/2a00000164ad7d5000bf0086a42e50644969/dealer_logo
https://auto.ru/diler/cars/all/rial_avto_avtosalon_lada_sevastopol_vaz,https://avatars.mds.yandex.net/get-verba/937147/2a0000016090e94851f20adb4acc1874899c/dealer_logo
https://auto.ru/diler/cars/all/mb_krim_sevastopol,
https://auto.ru/diler/cars/all/mb_krim_simferopol,https://avatars.mds.yandex.net/get-verba/787013/2a000001632b6e43914e112e78dbb2563fdf/dealer_logo
https://auto.ru/diler/cars/all/avtodrom_sevastopol,
https://auto.ru/diler/cars/all/chery_send_avto_sevastopol,
https://auto.ru/diler/cars/all/simferopol_uaz,
https://auto.ru/diler/cars/all/avtogrup_krim_lada_simferopol_vaz,https://avatars.mds.yandex.net/get-verba/1030388/2a000001684b601acc5402c1a02a89b0ffc4/dealer_logo
https://auto.ru/diler/cars/all/ooo_gen_lizing_simferopol,
https://auto.ru/diler/cars/all/faw_centr_krim_simferopol,
https://auto.ru/diler/cars/all/tehno_servis_k_simferopol_vaz_399,
https://auto.ru/diler/cars/all/forvard_avto_lifan_sevastopol,
https://auto.ru/diler/cars/all/argentum_foton_simferopol,
https://auto.ru/diler/cars/all/avto_luks_sevastopol,https://avatars.mds.yandex.net/get-verba/997355/2a000001683c870b1fc6ff3622b022a90540/dealer_logo