url,Марка,Модель,Комплектация,"Время разгона, с","Максимальная скорость, км/ч","Объем, л","Комбинированный, л/100 км","Время зарядки, ч",Подзарядка на дому,"Снаряженная масса, кг","Полная нормативная масса, кг","Колесная база, мм","Ширина, включая зеркала, мм","Максимальная высота над передними/задними сиденьями со стандартной крышей, мм","Максимальная высота над передними/задними сиденьями с панорамной крышей, мм","Максимальное пространство для ног в передней/задней части салона, мм","Ширина между колесными арками, мм","Длина за сиденьями первого ряда, мм","Стандартная высота подвески, мм","Прицеп, не оснащенный тормозной системой","Максимальная масса буксируемого груза, кг","Максимальная вертикальная нагрузка на точку сцепки (крюк), кг","Максимальная масса автомобиля с прицепом (GTW), кг",Максимальная мощность,Обороты максимальной мощности,Максимальный крутящий момент,Обороты максимального крутящего момента,О модели,Адреса дилеров,Цвет,Фото
https://avtodom.ru/catalog/audi/s6/,Audi,S6,TFSI quattro tiptronic,"4,5",250,73,,,,1985,2515,2928,,,,,,,,,,,,450 , 5700-6700,600,5000,,"Москва, Варшавское шоссе, 91А;Москва, Михайловский проезд,  д. 3, ср. 25;Московская обл., г. Балашиха, шоссе Энтузиастов, д. 12Б (3км от МКАД);Москва, МКАД (внешняя сторона), 85-й километр, вл5 с1",#bfc6d2,https://avtodom.ru/upload/iblock/519/51923bf1fd365d45022677c33668b527.jpg
https://avtodom.ru/catalog/audi/s6/,Audi,S6,TFSI quattro tiptronic,"4,5",250,73,,,,1985,2515,2928,,,,,,,,,,,,450 , 5700-6700,600,5000,,"Москва, Варшавское шоссе, 91А;Москва, Михайловский проезд,  д. 3, ср. 25;Московская обл., г. Балашиха, шоссе Энтузиастов, д. 12Б (3км от МКАД);Москва, МКАД (внешняя сторона), 85-й километр, вл5 с1",#ada8a2,https://avtodom.ru/upload/iblock/e51/e516ad54dffe2e0318e3f63e9efdb0da.jpg
https://avtodom.ru/catalog/audi/s6/,Audi,S6,TFSI quattro tiptronic,"4,5",250,73,,,,1985,2515,2928,,,,,,,,,,,,450 , 5700-6700,600,5000,,"Москва, Варшавское шоссе, 91А;Москва, Михайловский проезд,  д. 3, ср. 25;Московская обл., г. Балашиха, шоссе Энтузиастов, д. 12Б (3км от МКАД);Москва, МКАД (внешняя сторона), 85-й километр, вл5 с1",#8d8b98,https://avtodom.ru/upload/iblock/943/94322a02b1458ba41a0f411bcec013cc.jpg
https://avtodom.ru/catalog/audi/s6/,Audi,S6,TFSI quattro tiptronic,"4,5",250,73,,,,1985,2515,2928,,,,,,,,,,,,450 , 5700-6700,600,5000,,"Москва, Варшавское шоссе, 91А;Москва, Михайловский проезд,  д. 3, ср. 25;Московская обл., г. Балашиха, шоссе Энтузиастов, д. 12Б (3км от МКАД);Москва, МКАД (внешняя сторона), 85-й километр, вл5 с1",#72737b,https://avtodom.ru/upload/iblock/d62/d6209cc655cdcd67ea3a4d6dd1b41336.jpg
https://avtodom.ru/catalog/audi/s6/,Audi,S6,TFSI quattro tiptronic,"4,5",250,73,,,,1985,2515,2928,,,,,,,,,,,,450 , 5700-6700,600,5000,,"Москва, Варшавское шоссе, 91А;Москва, Михайловский проезд,  д. 3, ср. 25;Московская обл., г. Балашиха, шоссе Энтузиастов, д. 12Б (3км от МКАД);Москва, МКАД (внешняя сторона), 85-й километр, вл5 с1",#887b72,https://avtodom.ru/upload/iblock/88e/88ea1be47fcb2db2cacd6dbbc854044e.jpg
https://avtodom.ru/catalog/audi/s6/,Audi,S6,TFSI quattro tiptronic,"4,5",250,73,,,,1985,2515,2928,,,,,,,,,,,,450 , 5700-6700,600,5000,,"Москва, Варшавское шоссе, 91А;Москва, Михайловский проезд,  д. 3, ср. 25;Московская обл., г. Балашиха, шоссе Энтузиастов, д. 12Б (3км от МКАД);Москва, МКАД (внешняя сторона), 85-й километр, вл5 с1",#7e7b6a,https://avtodom.ru/upload/iblock/9d1/9d1374ea21d3ef049237c44a4b322cc0.jpg
https://avtodom.ru/catalog/audi/s6/,Audi,S6,TFSI quattro tiptronic,"4,5",250,73,,,,1985,2515,2928,,,,,,,,,,,,450 , 5700-6700,600,5000,,"Москва, Варшавское шоссе, 91А;Москва, Михайловский проезд,  д. 3, ср. 25;Московская обл., г. Балашиха, шоссе Энтузиастов, д. 12Б (3км от МКАД);Москва, МКАД (внешняя сторона), 85-й километр, вл5 с1",#c2b044,https://avtodom.ru/upload/iblock/07c/07cc53abe8e83b71a15abef56cde072c.jpg
https://avtodom.ru/catalog/audi/s6/,Audi,S6,TFSI quattro tiptronic,"4,5",250,73,,,,1985,2515,2928,,,,,,,,,,,,450 , 5700-6700,600,5000,,"Москва, Варшавское шоссе, 91А;Москва, Михайловский проезд,  д. 3, ср. 25;Московская обл., г. Балашиха, шоссе Энтузиастов, д. 12Б (3км от МКАД);Москва, МКАД (внешняя сторона), 85-й километр, вл5 с1",#e40001,https://avtodom.ru/upload/iblock/fb0/fb0489c56134645b67ae28cff61bec0f.jpg
https://avtodom.ru/catalog/audi/s6/,Audi,S6,TFSI quattro tiptronic,"4,5",250,73,,,,1985,2515,2928,,,,,,,,,,,,450 , 5700-6700,600,5000,,"Москва, Варшавское шоссе, 91А;Москва, Михайловский проезд,  д. 3, ср. 25;Московская обл., г. Балашиха, шоссе Энтузиастов, д. 12Б (3км от МКАД);Москва, МКАД (внешняя сторона), 85-й километр, вл5 с1",#cc021a,https://avtodom.ru/upload/iblock/558/558b622f9e6bcf6fd47446b1c83395de.jpg
https://avtodom.ru/catalog/audi/s6/,Audi,S6,TFSI quattro tiptronic,"4,5",250,73,,,,1985,2515,2928,,,,,,,,,,,,450 , 5700-6700,600,5000,,"Москва, Варшавское шоссе, 91А;Москва, Михайловский проезд,  д. 3, ср. 25;Московская обл., г. Балашиха, шоссе Энтузиастов, д. 12Б (3км от МКАД);Москва, МКАД (внешняя сторона), 85-й километр, вл5 с1",#d73f1a,https://avtodom.ru/upload/iblock/ac0/ac0c5d4d9f7970000fb0eb5ef3183c6f.jpg
https://avtodom.ru/catalog/audi/s6/,Audi,S6,TFSI quattro tiptronic,"4,5",250,73,,,,1985,2515,2928,,,,,,,,,,,,450 , 5700-6700,600,5000,,"Москва, Варшавское шоссе, 91А;Москва, Михайловский проезд,  д. 3, ср. 25;Московская обл., г. Балашиха, шоссе Энтузиастов, д. 12Б (3км от МКАД);Москва, МКАД (внешняя сторона), 85-й километр, вл5 с1",#ab561f,https://avtodom.ru/upload/iblock/8d5/8d53452c4141b24c4e3d0e41a82af38f.jpg
https://avtodom.ru/catalog/audi/s6/,Audi,S6,TFSI quattro tiptronic,"4,5",250,73,,,,1985,2515,2928,,,,,,,,,,,,450 , 5700-6700,600,5000,,"Москва, Варшавское шоссе, 91А;Москва, Михайловский проезд,  д. 3, ср. 25;Московская обл., г. Балашиха, шоссе Энтузиастов, д. 12Б (3км от МКАД);Москва, МКАД (внешняя сторона), 85-й километр, вл5 с1",#015cb8,https://avtodom.ru/upload/iblock/266/2666a7e153dcfc08262809ae0d864d68.jpg
https://avtodom.ru/catalog/audi/s6/,Audi,S6,TFSI quattro tiptronic,"4,5",250,73,,,,1985,2515,2928,,,,,,,,,,,,450 , 5700-6700,600,5000,,"Москва, Варшавское шоссе, 91А;Москва, Михайловский проезд,  д. 3, ср. 25;Московская обл., г. Балашиха, шоссе Энтузиастов, д. 12Б (3км от МКАД);Москва, МКАД (внешняя сторона), 85-й километр, вл5 с1",#001c4b,https://avtodom.ru/upload/iblock/b4b/b4b4cd3ddaf7c0d30faa6000b0d1ddc6.jpg
https://avtodom.ru/catalog/audi/s6/,Audi,S6,TFSI quattro tiptronic,"4,5",250,73,,,,1985,2515,2928,,,,,,,,,,,,450 , 5700-6700,600,5000,,"Москва, Варшавское шоссе, 91А;Москва, Михайловский проезд,  д. 3, ср. 25;Московская обл., г. Балашиха, шоссе Энтузиастов, д. 12Б (3км от МКАД);Москва, МКАД (внешняя сторона), 85-й километр, вл5 с1",#393d41,https://avtodom.ru/upload/iblock/6bf/6bf6a8addbd7d2e70be318a68a31dd42.jpg
https://avtodom.ru/catalog/audi/s6/,Audi,S6,TFSI quattro tiptronic,"4,5",250,73,,,,1985,2515,2928,,,,,,,,,,,,450 , 5700-6700,600,5000,,"Москва, Варшавское шоссе, 91А;Москва, Михайловский проезд,  д. 3, ср. 25;Московская обл., г. Балашиха, шоссе Энтузиастов, д. 12Б (3км от МКАД);Москва, МКАД (внешняя сторона), 85-й километр, вл5 с1",#012327,https://avtodom.ru/upload/iblock/2e7/2e7d4458030010f8b1af806914d5e321.jpg
https://avtodom.ru/catalog/audi/s6/,Audi,S6,TFSI quattro tiptronic,"4,5",250,73,,,,1985,2515,2928,,,,,,,,,,,,450 , 5700-6700,600,5000,,"Москва, Варшавское шоссе, 91А;Москва, Михайловский проезд,  д. 3, ср. 25;Московская обл., г. Балашиха, шоссе Энтузиастов, д. 12Б (3км от МКАД);Москва, МКАД (внешняя сторона), 85-й километр, вл5 с1",#141f33,https://avtodom.ru/upload/iblock/e69/e6980a39be56f91d0997bc804274de32.jpg
https://avtodom.ru/catalog/audi/s6/,Audi,S6,TFSI quattro tiptronic,"4,5",250,73,,,,1985,2515,2928,,,,,,,,,,,,450 , 5700-6700,600,5000,,"Москва, Варшавское шоссе, 91А;Москва, Михайловский проезд,  д. 3, ср. 25;Московская обл., г. Балашиха, шоссе Энтузиастов, д. 12Б (3км от МКАД);Москва, МКАД (внешняя сторона), 85-й километр, вл5 с1",#02281d,https://avtodom.ru/upload/iblock/b67/b67952a5ea82e5306055e84bd4cccc52.jpg
https://avtodom.ru/catalog/audi/s6/,Audi,S6,TFSI quattro tiptronic,"4,5",250,73,,,,1985,2515,2928,,,,,,,,,,,,450 , 5700-6700,600,5000,,"Москва, Варшавское шоссе, 91А;Москва, Михайловский проезд,  д. 3, ср. 25;Московская обл., г. Балашиха, шоссе Энтузиастов, д. 12Б (3км от МКАД);Москва, МКАД (внешняя сторона), 85-й километр, вл5 с1",#1f2b2b,https://avtodom.ru/upload/iblock/d37/d37d495f59e5bcb20e3afa74cc7eccc8.jpg
https://avtodom.ru/catalog/audi/s6/,Audi,S6,TFSI quattro tiptronic,"4,5",250,73,,,,1985,2515,2928,,,,,,,,,,,,450 , 5700-6700,600,5000,,"Москва, Варшавское шоссе, 91А;Москва, Михайловский проезд,  д. 3, ср. 25;Московская обл., г. Балашиха, шоссе Энтузиастов, д. 12Б (3км от МКАД);Москва, МКАД (внешняя сторона), 85-й километр, вл5 с1",#1d2122,https://avtodom.ru/upload/iblock/508/508f51e3e9c7b99027026448e5e7f1f3.jpg
https://avtodom.ru/catalog/audi/s6/,Audi,S6,TFSI quattro tiptronic,"4,5",250,73,,,,1985,2515,2928,,,,,,,,,,,,450 , 5700-6700,600,5000,,"Москва, Варшавское шоссе, 91А;Москва, Михайловский проезд,  д. 3, ср. 25;Московская обл., г. Балашиха, шоссе Энтузиастов, д. 12Б (3км от МКАД);Москва, МКАД (внешняя сторона), 85-й километр, вл5 с1",#020202,https://avtodom.ru/upload/iblock/a84/a84c38284415f972a49abb92d1cbdebf.jpg
https://avtodom.ru/catalog/audi/s6/,Audi,S6,TFSI quattro tiptronic,"4,5",250,73,,,,1985,2515,2928,,,,,,,,,,,,450 , 5700-6700,600,5000,,"Москва, Варшавское шоссе, 91А;Москва, Михайловский проезд,  д. 3, ср. 25;Московская обл., г. Балашиха, шоссе Энтузиастов, д. 12Б (3км от МКАД);Москва, МКАД (внешняя сторона), 85-й километр, вл5 с1",#010101,https://avtodom.ru/upload/iblock/398/398613aa214bf58dff37c948c5b145c9.jpg
https://avtodom.ru/catalog/audi/rs-q8/,Audi,RS Q8,RS Q8 TFSI,"3,8",250,85,,,,2390,3015,,,,,,,,,,,,,600 (6000),,800 (2200-4500),4500),,"Москва, Варшавское шоссе, 91А;Москва, Михайловский проезд,  д. 3, ср. 25;Московская обл., г. Балашиха, шоссе Энтузиастов, д. 12Б (3км от МКАД);Москва, МКАД (внешняя сторона), 85-й километр, вл5 с1",#deeeee,https://avtodom.ru/upload/iblock/cd0/cd006f3e54a1c6e1cc8878b788e13ead.jpg
https://avtodom.ru/catalog/audi/rs-q8/,Audi,RS Q8,RS Q8 TFSI,"3,8",250,85,,,,2390,3015,,,,,,,,,,,,,600 (6000),,800 (2200-4500),4500),,"Москва, Варшавское шоссе, 91А;Москва, Михайловский проезд,  д. 3, ср. 25;Московская обл., г. Балашиха, шоссе Энтузиастов, д. 12Б (3км от МКАД);Москва, МКАД (внешняя сторона), 85-й километр, вл5 с1",#e1eaef,https://avtodom.ru/upload/iblock/d1e/d1e188ced77cae7d676f056146338b88.jpg
https://avtodom.ru/catalog/audi/rs-q8/,Audi,RS Q8,RS Q8 TFSI,"3,8",250,85,,,,2390,3015,,,,,,,,,,,,,600 (6000),,800 (2200-4500),4500),,"Москва, Варшавское шоссе, 91А;Москва, Михайловский проезд,  д. 3, ср. 25;Московская обл., г. Балашиха, шоссе Энтузиастов, д. 12Б (3км от МКАД);Москва, МКАД (внешняя сторона), 85-й километр, вл5 с1",#d2cecb,https://avtodom.ru/upload/iblock/e5c/e5c4cd81a7ed67cc14b4413456717e24.jpg
https://avtodom.ru/catalog/audi/rs-q8/,Audi,RS Q8,RS Q8 TFSI,"3,8",250,85,,,,2390,3015,,,,,,,,,,,,,600 (6000),,800 (2200-4500),4500),,"Москва, Варшавское шоссе, 91А;Москва, Михайловский проезд,  д. 3, ср. 25;Московская обл., г. Балашиха, шоссе Энтузиастов, д. 12Б (3км от МКАД);Москва, МКАД (внешняя сторона), 85-й километр, вл5 с1",#a09fa2,https://avtodom.ru/upload/iblock/c1d/c1dd43641864fb25b9864137b773dd22.jpg
